file	changed	border_dark_ratio	removed_pixels	removed_ratio
australian-kangaroo-2024-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
australian-kangaroo-2024-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
bb26s1c-britannia-2026-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
bb26s1c-britannia-2026-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-2oz-silver-proof-coin-box.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-2oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-2oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-5oz-silver-proof-coin-box.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-5oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
bond-films-of-the-1980s-2024-5oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-1oz-silver-proof-coin-box.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-1oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-1oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-5oz-silver-proof-coin-box.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-5oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
bond-films-of-the-1990s-2024-5oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
britannia-2022-1-oz-silver-bullion-coin-blister-rev.webp	0	0.0000	0	0.0000
britannia-2024-uk-1-10oz-silver-bullion-coin-obv.webp	1	0.9998	612988	0.4257
britannia-2024-uk-1-10oz-silver-bullion-coin-rev.webp	1	1.0000	559462	0.3885
britannia-2024-uk-1-10oz-silver-proof-coin-obv.webp	1	1.0000	590149	0.4098
britannia-2024-uk-1-10oz-silver-proof-coin-rev.webp	1	1.0000	582681	0.4046
britannia-2024-uk-1-20oz-silver-proof-coin-obv.webp	1	1.0000	588504	0.4087
britannia-2024-uk-1-20oz-silver-proof-coin-rev.webp	1	1.0000	556063	0.3862
britannia-2024-uk-1-2oz-silver-proof-coin-obv.webp	1	1.0000	523593	0.3636
britannia-2024-uk-1-2oz-silver-proof-coin-rev.webp	1	1.0000	496342	0.3447
britannia-2024-uk-1-4oz-silver-proof-coin-obv.webp	1	1.0000	557173	0.3869
britannia-2024-uk-1-4oz-silver-proof-coin-rev.webp	1	1.0000	574723	0.3991
britannia-2024-uk-1-4oz-silver-proof-coin-tp25px103-obv.webp	1	1.0000	566095	0.3931
britannia-2024-uk-1-4oz-silver-proof-coin-tp25px103-rev.webp	1	1.0000	560462	0.3892
britannia-2024-uk-1oz-silver-bullion-coin-obv.webp	1	1.0000	569028	0.3952
britannia-2024-uk-1oz-silver-bullion-coin-rev.webp	1	1.0000	631247	0.4384
britannia-2024-uk-1oz-silver-coin-obv.webp	1	1.0000	562075	0.3903
britannia-2024-uk-1oz-silver-coin-rev.webp	1	1.0000	583375	0.4051
britannia-2024-uk-1oz-silver-proof-coin-frosted-obv.webp	1	1.0000	568250	0.3946
britannia-2024-uk-1oz-silver-proof-coin-frosted-rev.webp	1	1.0000	567541	0.3941
britannia-2024-uk-1oz-silver-proof-coin-obv.webp	1	1.0000	555088	0.3855
britannia-2024-uk-1oz-silver-proof-coin-rev.webp	1	1.0000	565514	0.3927
britannia-2024-uk-2oz-silver-proof-coin-obv.webp	1	1.0000	678654	0.4713
britannia-2024-uk-2oz-silver-proof-coin-rev.webp	1	1.0000	614138	0.4265
britannia-2024-uk-5oz-silver-proof-coin-obv.webp	1	1.0000	609222	0.4231
britannia-2024-uk-5oz-silver-proof-coin-rev.webp	1	1.0000	551622	0.3831
britannia-and-liberty-2024-uk-1-4oz-silver-bullion-coin-obv.webp	1	1.0000	557886	0.3874
britannia-and-liberty-2024-uk-1-4oz-silver-bullion-coin-rev.webp	1	1.0000	557886	0.3874
britannia-and-liberty-2024-uk-1oz-silver-bullion-coin-obv.webp	1	1.0000	560432	0.3892
britannia-and-liberty-2024-uk-1oz-silver-bullion-coin-rev.webp	1	1.0000	575993	0.4000
britannia-and-liberty-2024-uk-1oz-silver-proof-coin-obv.webp	1	1.0000	561902	0.3902
britannia-and-liberty-2024-uk-1oz-silver-proof-coin-rev.webp	1	0.9999	547041	0.3799
britannia-and-liberty-2024-uk-2oz-silver-proof-coin-obv.webp	1	1.0000	609712	0.4234
britannia-and-liberty-2024-uk-2oz-silver-proof-coin-rev.webp	1	1.0000	611401	0.4246
britannia-and-liberty-2024-uk-5oz-silver-proof-coin-obv.webp	1	1.0000	642157	0.4459
britannia-and-liberty-2024-uk-5oz-silver-proof-coin-rev.webp	1	1.0000	594139	0.4126
britannia-silver-set-blister-rev.webp	0	0.0000	0	0.0000
buckingham-palace-2024-uk-5-silver-proof-coin-obv.webp	1	1.0000	586729	0.4075
buckingham-palace-2024-uk-5-silver-proof-coin-rev.webp	1	1.0000	560440	0.3892
buckingham-palace-2024-uk-5-silver-proof-piedfort-coin-obv.webp	1	1.0000	555183	0.3855
buckingham-palace-2024-uk-5-silver-proof-piedfort-coin-rev.webp	1	1.0000	557895	0.3874
canadian-maple-leaf-2024-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
canadian-maple-leaf-2024-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
charles-iii-definitives-2024-uk-10p-silver-proof-coin-obv.webp	1	1.0000	791989	0.5500
charles-iii-definitives-2024-uk-10p-silver-proof-coin-rev.webp	1	1.0000	788256	0.5474
charles-iii-definitives-2024-uk-20p-silver-proof-coin-obv.webp	1	0.9999	603172	0.4189
charles-iii-definitives-2024-uk-20p-silver-proof-coin-rev.webp	1	0.9999	605390	0.4204
charles-iii-definitives-2024-uk-5p-silver-proof-coin-obv.webp	1	1.0000	912109	0.6334
charles-iii-definitives-2024-uk-5p-silver-proof-coin-rev.webp	1	1.0000	989939	0.6875
concorde-2026-50p-silver-proof-coin-cert.webp	0	0.0000	0	0.0000
count-dracula-2025-1oz-silver-bullion-coin-blister-obv.webp	0	0.0000	0	0.0000
count-dracula-2025-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
count-dracula-2025-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
d-day-2024-uk-1oz-2-pound-silver-proof-coin-obv.webp	1	1.0000	512909	0.3562
d-day-2024-uk-1oz-2-pound-silver-proof-coin-rev.webp	1	1.0000	495259	0.3439
d-day-2024-uk-2oz-silver-proof-coin-obv.webp	1	1.0000	616078	0.4278
d-day-2024-uk-2oz-silver-proof-coin-rev.webp	1	1.0000	599364	0.4162
d-day-2024-uk-50p-silver-proof-coin-obv.webp	1	1.0000	565779	0.3929
d-day-2024-uk-50p-silver-proof-coin-rev.webp	1	1.0000	578527	0.4018
dame-vera-lynn-1917-half-crown-and-2022-2-pound-silver-proof-box.webp	0	0.0000	0	0.0000
dame-vera-lynn-1917-half-crown-and-2022-2-pound-silver-proof-obv.webp	0	0.0000	0	0.0000
dame-vera-lynn-1917-half-crown-and-2022-2-pound-silver-proof-rev.webp	0	0.0000	0	0.0000
diplodocus-2024-50p-silver-proof-colour-coin-box.webp	0	0.0000	0	0.0000
diplodocus-2024-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
diplodocus-2024-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
elizabeth-ii-the-first-effigy-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
elizabeth-ii-the-first-effigy-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
elizabeth-ii-the-second-effigy-2026-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
elizabeth-ii-the-second-effigy-2026-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
elizabeth-ii-the-second-effigy-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
elizabeth-ii-the-second-effigy-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
george-michael-2024-uk-1oz-silver-proof-coin-obv.webp	1	1.0000	560099	0.3890
george-michael-2024-uk-1oz-silver-proof-coin-rev.webp	1	1.0000	580843	0.4034
george-michael-2024-uk-1oz-silver-proof-colour-coin-obv.webp	1	1.0000	555839	0.3860
george-michael-2024-uk-1oz-silver-proof-colour-coin-rev.webp	1	1.0000	529296	0.3676
george-michael-2024-uk-2oz-silver-proof-coin-obv.webp	1	1.0000	639047	0.4438
george-michael-2024-uk-2oz-silver-proof-coin-rev.webp	1	1.0000	627362	0.4357
george-orwell-2025-2-pound-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
george-orwell-2025-2-pound-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
giant-deer-2024-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
giant-deer-2024-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
