reason	file_slug	seed_url	fetch_url	json_path	image_obverse_snip	image_reverse_snip
missing_both_sides	100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection	https://www.royalmint.com/shop/limited-editions/winnie-the-pooh/collection/100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection	https://www.royalmint.com/shop/limited-editions/winnie-the-pooh/collection/100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection.json		
missing_both_sides	the-penny-drops-2026-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/the-great-british-treasure-hunt/the-penny-drops-2026-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/the-great-british-treasure-hunt/the-penny-drops-2026-silver-proof-coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-the-penny-drops-2026-silver-proof-coin.json		
missing_both_sides	king-charles-iii-definitives-2024-uk-50p-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/King-Charles-III-Definitives-2024-UK-50p-Silver-Proof-Coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/King-Charles-III-Definitives-2024-UK-50p-Silver-Proof-Coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-king-charles-iii-definitives-2024-uk-50p-silver-proof-coin.json		
missing_both_sides	2023-lunar-year-of-the-rabbit-1kg-silver-proof-trial-piece	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2023-Lunar-Year-of-the-Rabbit-1kg-Silver-Proof-Trial-Piece	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2023-Lunar-Year-of-the-Rabbit-1kg-Silver-Proof-Trial-Piece	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-2023-lunar-year-of-the-rabbit-1kg-silver-proof-trial-piece.json		
missing_both_sides	the-snowman-2025-50p-silver-proof-colour-coin	https://www.royalmint.com/shop/commemorative/childhood-characters/the-snowman/the-snowman-2025-50p-silver-proof-colour-coin	https://www.royalmint.com/shop/commemorative/childhood-characters/the-snowman/the-snowman-2025-50p-silver-proof-colour-coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-the-snowman-2025-50p-silver-proof-colour-coin.json		
missing_both_sides	national-gallery-2024-2-pound-silver-proof-piedfort-coin	https://www.royalmint.com/shop/limited-editions/national-gallery/national-gallery-2024-2-pound-silver-proof-piedfort-coin	https://www.royalmint.com/shop/limited-editions/national-gallery/national-gallery-2024-2-pound-silver-proof-piedfort-coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-national-gallery-2024-2-pound-silver-proof-piedfort-coin.json		
missing_both_sides	2019-queen-victoria-uk-silver-proof-5-piedfort-coin	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Queen-Victoria-UK-Silver-Proof-5-Piedfort-Coin	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Queen-Victoria-UK-Silver-Proof-5-Piedfort-Coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-2019-queen-victoria-uk-silver-proof-5-piedfort-coin.json		
missing_both_sides	britannia-silver-set	https://www.royalmint.com/shop/coin-sets/Britannia-Silver-Set	https://www.royalmint.com/shop/coin-sets/Britannia-Silver-Set	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-britannia-silver-set.json		
missing_both_sides	2020-celebrating-british-diversity-50p-silver-proof	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2020-Celebrating-British-Diversity-50p-Silver-Proof	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2020-Celebrating-British-Diversity-50p-Silver-Proof	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-2020-celebrating-british-diversity-50p-silver-proof.json		
missing_both_sides	the-lion-and-the-eagle-2024-uk-1-2oz-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/The-Lion-and-The-Eagle-2024-UK-1-2oz-Silver-Proof-Coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/The-Lion-and-The-Eagle-2024-UK-1-2oz-Silver-Proof-Coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-the-lion-and-the-eagle-2024-uk-1-2oz-silver-proof-coin.json		
missing_both_sides	2019-remembrance-day-uk-5-silver-proof-piedfort	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Remembrance-Day-UK-5-Silver-Proof-Piedfort	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Remembrance-Day-UK-5-Silver-Proof-Piedfort	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-2019-remembrance-day-uk-5-silver-proof-piedfort.json		
missing_both_sides	75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/dennis-the-menace/75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/dennis-the-menace/75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin.json		
missing_both_sides	charles-iii-definitives-2024-uk-2-pound-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/Charles-III-Definitives-2024-UK-2-Pound-Silver-Proof-Coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/Charles-III-Definitives-2024-UK-2-Pound-Silver-Proof-Coin	/Users/mihail/Desktop/Нумизматика сайт/omonete-app/data/royal-mint-charles-iii-definitives-2024-uk-2-pound-silver-proof-coin.json		
