url;title;weight_g;weight_oz
"https://omonete.ru/coins/5266/";"Australia Sovereign 2018 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5267/";"Australia Sovereign 2020 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5457/";"Australian Sovereign 2020 Gold Proof High Relief Piedfort Coin";"16g";"1oz"
"https://omonete.ru/coins/5549/";"Perth Mint Great War Gold Sovereign Collection 1914–1918";"8g";"1oz"
"https://omonete.ru/coins/5624/";"Australian Lunar Series II 2019 Year of the Pig Gold Proof Three-Coin Set";"3.11g";"1oz"
"https://omonete.ru/coins/5625/";"Australian Lunar Series II 2018 Year of the Dog Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5635/";"Australian Lunar Series II 2013 Year of the Snake Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5648/";"Australian Lunar Series II 2014 Year of the Horse Silver Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5661/";"Australian Lunar Series II 2015 Year of the Goat Silver Proof Three-Coin Set";"62.3g";"1oz"
"https://omonete.ru/coins/5672/";"Australian Lunar Series II 2017 Year of the Rooster Gold Proof Three-Coin Set";"3.11g";"1oz"
"https://omonete.ru/coins/5689/";"Australian Lunar Series III 2020 Year of the Mouse Silver Proof Three Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5786/";"Perth Mint 2021 Gold Sovereign Anniversary Two-Coin Set";"8g";"1oz"
"https://omonete.ru/coins/5793/";"Australian Lunar Silver Coin Series II 2019 Year of the Pig Silver Proof Three-Coin Set";"62.2g";"1oz"
"https://omonete.ru/coins/5799/";"The Half Sovereign 2025 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5800/";"The Half Sovereign 2026 Gold Proof Coin";"4g";"1oz"
"https://omonete.ru/coins/5803/";"The Sovereign 2026 Gold Proof Coin";"8g";"1oz"
"https://omonete.ru/coins/5804/";"The Sovereign 2026 Silver Proof Coin";"8g";"1oz"
