id,url,title,mint_name,mint_short,mint_country,issue_type,current_weightG,current_weightOz,current_weightLabel,suggested_weightG,suggested_weightOz_display,notes
5216,https://omonete.ru/coins/5216/,1916 King George V Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5218,https://omonete.ru/coins/5218/,1917 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5218,https://omonete.ru/coins/5218/,1917 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5220,https://omonete.ru/coins/5220/,1918 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5220,https://omonete.ru/coins/5220/,1918 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5222,https://omonete.ru/coins/5222/,1919 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5222,https://omonete.ru/coins/5222/,1919 Gold Sovereign Mintmark Trio,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5225,https://omonete.ru/coins/5225/,1925 King George V London Mint Sovereign,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5225,https://omonete.ru/coins/5225/,1925 King George V London Mint Sovereign,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5799,https://omonete.ru/coins/5799/,The Half Sovereign 2025 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,4,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5799,https://omonete.ru/coins/5799/,The Half Sovereign 2025 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,4,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=4. Вероятно подтянута чужая подпись (часто соверен)."
5800,https://omonete.ru/coins/5800/,The Half Sovereign 2026 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,4,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5800,https://omonete.ru/coins/5800/,The Half Sovereign 2026 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,4,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=4. Вероятно подтянута чужая подпись (часто соверен)."
5803,https://omonete.ru/coins/5803/,The Sovereign 2026 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5803,https://omonete.ru/coins/5803/,The Sovereign 2026 Gold Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
5804,https://omonete.ru/coins/5804/,The Sovereign 2026 Silver Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
5804,https://omonete.ru/coins/5804/,The Sovereign 2026 Silver Proof Coin,The Royal Mint,Royal Mint,Великобритания,weightG_слишком_мало_при_1_унция_в_подписи,8,1 унция,"1 унция · 31,1 грамм",31.1,1,"Подпись про 1 унцию (31.1 г), а weightG=8. Вероятно подтянута чужая подпись (часто соверен)."
